Identificação:  0 |  Valor: 12
Identificação:  1 |  Valor: 13
Identificação:  2 |  Valor: 15
Identificação:  3 |  Valor: 18
Identificação:  4 |  Valor: 22
Identificação:  5 |  Valor: 27
Identificação:  6 |  Valor: 33
Identificação:  7 |  Valor: 40
Identificação:  8 |  Valor: 48
Identificação:  9 |  Valor: 57
Identificação:  10 |  Valor: 67
Identificação:  11 |  Valor: 78
Identificação:  12 |  Valor: 90
Identificação:  13 |  Valor: 103
Identificação:  14 |  Valor: 117
Identificação:  15 |  Valor: 132
Identificação:  16 |  Valor: 148
Identificação:  17 |  Valor: 165
Identificação:  18 |  Valor: 183
Identificação:  19 |  Valor: 202
